,ID,Severity,Start_Lat,Start_Lng,Description,Street,State,Precipitation(in),Weather_Condition,Junction
723743,A-723744,2,39.325486,-84.42120899999998,Incident on I-75 SB near I-75 Drive with caution.,I-75 S,OH,0.0,Fair,True
1164673,A-1164674,2,39.31877,-84.427131,Incident on I-75 NB near I-75 Drive with caution.,I-75 N,OH,0.0,Fair,True
